D/B,X/D,Y/D,unit wt,c,friction angle,poissons ratio,E,BC
2.392,1.2,2.0,13.78,158.7,8,0.39,19872,64.194
2.392,1.246,2.0,13.78,158.7,20,0.39,19872,99.572
2.392,1.246,1.0,13.78,158.7,8,0.39,19872,52.211
2.392,1.246,2.0,13.78,158.7,26,0.39,19872,109.788
1.3,1.246,2.0,13.78,158.7,8,0.39,19872,76.462
2.392,1.246,2.0,13.78,158.7,8,0.39,72000,70.847
2.392,1.246,2.0,13.78,180.0,8,0.39,19872,80.364
2.392,1.246,0.3,13.78,158.7,8,0.39,19872,20.801
2.392,1.246,2.0,13.78,158.7,27,0.39,19872,116.209
2.8,1.246,2.0,13.78,158.7,8,0.39,19872,59.358
2.392,1.1,2.0,13.78,158.7,8,0.39,19872,59.376
2.392,1.246,2.0,13.78,158.7,8,0.35,19872,70.864
2.392,1.246,2.0,20.75,158.7,8,0.39,19872,70.764
2.392,1.246,2.0,13.78,158.7,8,0.27,19872,70.847
2.392,1.246,2.0,13.78,158.7,8,0.39,19872,82.053
2.392,1.246,2.0,13.78,158.7,8,0.39,33000,70.847
2.392,1.246,2.0,13.78,192.0,8,0.39,19872,85.727
2.392,1.246,2.0,15.5,158.7,8,0.39,19872,70.826
2.392,1.246,2.6,13.78,158.7,8,0.39,19872,94.243
2.392,1.246,2.0,13.78,158.7,8,0.39,51000,70.847
2.392,1.246,1.7,13.78,158.7,8,0.39,19872,84.745
2.392,1.246,2.0,13.78,158.7,8,0.19,19872,70.846
2.392,1.246,2.0,13.78,158.7,8,0.39,42000,70.847
2.392,1.246,2.0,13.78,158.7,8,0.39,27000,70.847
2.392,1.246,2.0,15.0,158.7,8,0.39,19872,70.832
2.392,1.246,2.0,13.78,158.7,0,0.39,19872,15.334
2.392,-2.2,2.0,13.78,158.7,8,0.39,19872,90.246
2.392,1.246,0.1,13.78,158.7,8,0.39,19872,12.109
2.392,1.246,2.0,13.78,158.7,8,0.39,19872,90.656
2.392,1.246,2.0,17.25,158.7,8,0.39,19872,70.804
2.392,1.246,2.0,15.25,158.7,8,0.39,19872,70.829
2.392,1.246,0.6,13.78,158.7,8,0.39,19872,34.109
2.392,-2.8,2.0,13.78,158.7,8,0.39,19872,90.444
2.392,1.246,2.0,14.25,158.7,8,0.39,19872,70.841
2.392,-0.5,2.0,13.78,158.7,8,0.39,19872,34.394
2.392,1.246,2.0,13.78,158.7,8,0.39,18000,70.847
2.392,1.246,2.0,13.78,158.7,8,0.16,19872,70.845
2.392,1.246,2.0,13.78,158.7,8,0.36,19872,70.846
2.392,-0.9,2.0,13.78,158.7,8,0.39,19872,50.631
2.392,1.246,2.0,13.78,158.7,8,0.39,12000,70.847
2.392,-0.3,2.0,13.78,158.7,8,0.39,19872,28.999
2.392,0.7,2.0,13.78,158.7,8,0.39,19872,41.209
2.392,1.246,2.7,13.78,158.7,8,0.39,19872,89.586
2.392,1.246,2.0,13.78,158.7,8,0.39,60000,70.847
2.392,1.246,2.0,13.78,158.7,21,0.39,19872,104.608
1.8,1.246,2.0,13.78,158.7,8,0.39,19872,72.074
2.392,1.246,2.0,13.78,158.7,28,0.39,19872,114.853
2.392,-0.6,2.0,13.78,158.7,8,0.39,19872,37.269
2.392,-1.6,2.0,13.78,158.7,8,0.39,19872,77.696
